# List of male idols. Type=||
Hyoudou Aoi||Kaichou Wa Maid-Sama
Camus (Utapri)||Uta No Prince-Sama
Tomii Daiki||Shounen Hollywood
Amaki Ikuma||Shounen Hollywood
Kazami Kakeru||Shounen Hollywood
Sakeki Kira||Shounen Hollywood
Ringo Tsukimiya||Uta No Prince-Sama
Maiyama Shun||Shounen Hollywood
Katsura Kogorou (Bakumatsu Rock)||Bakumatsu Rock
Hijikata Toshizou (Bakumatsu Rock)||Bakumatsu Rock
Sakamoto Ryouma (Bakumatsu Rock)||Bakumatsu Rock
Takasugi Shinsaku (Bakumatsu Rock)||Bakumatsu Rock
Crow (Show By Rock!!)||Show By Rock!!
Yaiba (Show By Rock!!)||Show By Rock!!
Aion (Show By Rock!!)||Show By Rock!!
Rom (Show By Rock!!)||Show By Rock!!
Shu Zo (Show By Rock!!)||Show By Rock!!
Riku (Show By Rock!!)||Show By Rock!!
