# List of idols. Type=||
5pb (Choujigen Game Neptune)|Hyperdimension Neptunia
A (Show By Rock!!)||Show By Rock!!
Abe Nana||Idolmaster
Abe Nana||Idolmaster Cinderella Girls
Aida Orine||AKB0048
Akagi Miria||Idolmaster
Akagi Miria||Idolmaster Cinderella Girls
Akimoto Sayaka||AKB0048
Akizuki Maxi||Inu To Hasami Wa Tsukaiyou
Akizuki Ritsuko||Idolmaster
Amami Haruka||Idolmaster
Amou Kanade||Senki Zesshou Symphogear
Anastasia (Idolmaster)||Idolmaster
Anastasia (Idolmaster)||Idolmaster Cinderella Girls
Anastasia||Idolmaster
Aoki Sei||Idolmaster Cinderella Girls
Arisugawa Otome||Aikatsu!
Ayase Eli||Love Live!
Blue Rose||Tiger & Bunny
Campbell Meer||Mobile Suit Gundam Seed
Chie Sasaki||Idolmaster
Chinatsu||Natsuiro Kiseki
Chuchu (Show By Rock!!)||Show By Rock!!
Citron (Basquash)||Basquash!
Clyne Lacus||Mobile Suit Gundam Seed
Edomae Lunar||Seto No Hanayome
Fujimoto Rina||Idolmaster Cinderella Girls
Fukumune Iria||Dakara Boku Wa H Ga Dekinai.
Futaba Anzu||Idolmaster
Futaba Anzu||Idolmaster Cinderella Girls
Futami Ami||Idolmaster
Futami Mami||Idolmaster
Fuyumi||Natsuiro Kiseki
Ganaha Hibiki||Idolmaster
Ginyuuin Serika||Kanojo Ga Flag Wo Oraretara
Hagiwara Sakura||Sekai De Ichiban Tsuyoku Naritai!
Hagiwara Yukiho||Idolmaster
Hayase Aika||Sekai De Ichiban Tsuyoku Naritai!
Hayashida Airi||Wake Up Girls!
Hidaka Ai||Idolmaster
Hijirikawa Cyan||Show By Rock!!
Hikami Sumire||Aikatsu!
Himekawa Yuki||Idolmaster Cinderella Girls
Himuro Asami||Aikatsu!
Hino Akane||Idolmaster
Hino Akane||Idolmaster Cinderella Girls
Hisami Nanami||Wake Up Girls!
Honda Mio||Idolmaster Cinderella Girls
Hori Yuuko||Idolmaster Cinderella Girls
Hoshi Shouko||Idolmaster Cinderella Girls
Hoshii Miki||Idolmaster
Hoshimiya Ichigo||Aikatsu!
Hoshizora Rin||Love Live!
Houjou Karen||Idolmaster Cinderella Girls
Houjou Sophie||Puri Para
Ichinohe Aya||Megane Na Kanojo
Ichinose Kaede||Aikatsu!
Isora Hibari||Penguindrum
Itano Tomomi||AKB0048
Iwasaki Shiho||Wake Up Girls!
Izayoi Miku||Data A Live
Jacqueline (Show By Rock!!)||Show By Rock!!
Jougasaki Mika||Idolmaster
Jougasaki Mika||Idolmaster Cinderella Girls
Jougasaki Rika||Idolmaster
Jougasaki Rika||Idolmaster
Jougasaki Rika||Idolmaster Cinderella Girls
Julia||Idolmaster
Kamijou Haruna||Idolmaster Cinderella Girls
Kamiya Nao||Idolmaster Cinderella Girls
Kanzaki Mizuki||Aikatsu!
Kanzaki Mizuki||Aikatsu!
Kanzaki Ranko||Idolmaster
Kanzaki Ranko||Idolmaster Cinderella Girls
Kanzaki Suzuko||AKB0048
Kashima Noa||Rail Wars!
Kashiwagi Yuki||AKB0048
Kasuga Mirai||Idolmaster
Katagiri Sanae||Idolmaster Cinderella Girls
Katayama Minami||Wake Up Girls!
Kawashima Mizuki||Idolmaster Cinderella Girls
Kazanari Tsubasa||Senki Zesshou Symphogear
Kenzaki Makoto||Dokidoki! Pretty Cure
Kikuchi Makoto||Idolmaster
Kikuko||Miss Monochrome
Kikuko||Miss Monochrome
Kikuma Kaya||Wake Up Girls!
Kinoshita Hinata||Idolmaster
Kinoshita Ringo||No-Rin
Kiriya Aoi||Aikatsu!
Kisaragi Chihaya||Idolmaster
Kisaragi Momo||Mekaku City Actors
